"Klasyczna teoria, cz. 1<br>Metoda charakterystyk","[$]F(p,z,x): \R^{2n+1} \to \R[/$], [$]g: \Gamma \to \R[/$] gÅ‚adkie. $U[$] otwarty.<br><br>[/$][$]<br>  (*)<br>  \begin{cases}<br>    F(Du, u, x) = 0 & \text{ w } U \<br>    u = g           & \text{ w } \Gamma \subset \partial U<br>  \end{cases}<br>[/$][$]<br><br>\begin{align*}<br>    \mathbf{p}(s) &= Du(\mathbf{x}(s)) \\        <br>             z(s) &= u(\mathbf{x}(s))<br>\end{align*}<br>PoniÅ¼ej [/$]\mathbf{p}, z, \mathbf{x}[$] od [/$]s[$], [/$]F[$] od [/$]\mathbf{p}, z, \mathbf{x}[$].<br>[/$][$]<br>  (**)<br>  \begin{cases}<br>    (a) \; \dot{\mathbf{p}} = - D_x F - D_z F \cdot \mathbf{p} \<br>    (b)  \; \dot{z} = D_p F \cdot \mathbf{p}\<br>    (c)  \; \dot{\mathbf{x}} = D_p F<br>  \end{cases}<br>[/$][$]<br>JeÅ¼eli [/$]u \in C^2(U)[$] speÅ‚nia [/$](*)[$], a [/$]\mathbf{x}[$] speÅ‚nia [/$](**)(c)[$], to [/$]\mathbf{p}[$] i [/$]z[$] speÅ‚niajÄ… [/$](**)(a)[$] i [/$](**)(b)$."
Przestrzenie Sobolewa i sÅ‚abe rozwiÄ…zania<br>PrzedÅ‚uÅ¼anie,"Niech [$]1 \leq p \leq \infty[/$], $U[$] bÄ™dzie otwarty, a [/$]\partial U \in C^1[$]. Wybierzmy ograniczony i otwarty zbiÃ³r [/$]V[$] taki, Å¼e [/$]U \subset \subset V$. WÃ³wczas istnieje ograniczony operator liniowy<br>[$$] E: W^{1,p}(U) \to W^{1,p}(\R^n), [/$$]<br>taki, Å¼e dla kaÅ¼dej funkcji $u[$]:<br>\begin{enumerate}<br>    \item [/$]Eu = u[$] p.w. w [/$]U[$],<br>    \item [/$]Eu[$] ma noÅ›nik zawarty w [/$]V[$]<br>    \item [/$]\norm{Eu}_{W^{1,p}(\R^n)} \leq C \norm{Eu}_{W^{1,p}(U)}[$], przy czym staÅ‚a [/$]C[$] nie zaleÅ¼y od [/$]u$.<br>\end{enumerate}"
Przestrzenie Sobolewa i sÅ‚abe rozwiÄ…zania<br>Twierdzenie o Å›ladzie,"ZaÅ‚Ã³Å¼my, Å¼e $U[$] jest zbiorem ograniczonym i [/$]\partial U \in C^1$. Istnieje wÃ³wczas ograniczony operator liniowy<br>[$$] T: W^{1,p}(U) \to L^p(\partial U) [/$$]<br>taki, Å¼e<br>\begin{enumerate}<br>    \item [$]Tu = u|_{\partial U}[/$], jeÅ›li [$]u \in W^{1,p}(U) \cap C(\overline{U}).[/$]<br>    \item Istnieje staÅ‚a $C[$] taka, Å¼e dla kaÅ¼dej funkcji [/$]u \in W^{1,p}(U)$<br>          [$$]\norm{Tu}_{L^p(\partial U)} \leq C \norm{u}_{W^{1,p}(U)}.[/$$]<br>\end{enumerate}"
Przestrzenie Sobolewa i sÅ‚abe rozwiÄ…zania<br>WykÅ‚adnik sprzÄ™Å¼ony w sensie Sobolewa do $p$,"[$$] p^* := \frac{np}{n-p}, [/$$]<br>zauwaÅ¼my, Å¼e<br>[$$] \frac{1}{p^*} = \frac{1}{p} - \frac{1}{n}, p^* > p.[/$$]"
Przestrzenie Sobolewa i sÅ‚abe rozwiÄ…zania<br>NierÃ³wnoÅ›Ä‡ G-N-S,"ZaÅ‚Ã³Å¼my, Å¼e [$]1 \leq p < n[/$]. Istnieje staÅ‚a $C$ taka, Å¼e <br>[$$]\norm{u}_{L^{p^*}(\R^n)} \leq C \norm{\nabla u}_{L^p(\R^n)}[/$$]<br>dla wszystkich [$]u \in C^1_c(\R^n)[/$]."
Przestrzenie Sobolewa i sÅ‚abe rozwiÄ…zania<br>Twierdzenie Sobolewa o zanurzaniu w [$]L^{p^*}[/$],"Niech $U[$] bÄ™dzie otwarty i ograniczony, [/$]\partial U \in C^1[$], a [/$]u \in W^{1,p}(U)[$] dla [/$]1 \leq p < n[$].<br>WÃ³wczas dla kaÅ¼dego [/$]1 \leq q \leq p^*$<br>[$$] u \in L^q(U) [/$$]<br>oraz<br>[$$]\norm{u}_{L^q(U)} \leq C \norm{u}_{W^{1,p}}[/$$]<br>dla staÅ‚ej $C[$] niezaleÅ¼nej od [/$]u$."
Przestrzenie Sobolewa i sÅ‚abe rozwiÄ…zania<br>NierÃ³wnoÅ›Ä‡ Poincar\'ego z zerowym Å›ladem,"Niech $U[$] bÄ™dzie otwarty i ograniczony, a [/$]u \in W^{1,p}_0(U)[$] dla [/$]1 \leq p < n[$].<br>WÃ³wczas dla kaÅ¼dego [/$]1 \leq q \leq p^*$<br>[$$]\norm{u}_{L^q(U)} \leq C \norm{\nabla u}_{L^p(U)}[/$$]<br>dla staÅ‚ej $C[$] niezaleÅ¼nej od [/$]u$."
Przestrzenie Sobolewa i sÅ‚abe rozwiÄ…zania<br>NierÃ³wnoÅ›Ä‡ Poincar\'ego z wartoÅ›ciÄ… Å›redniÄ…,"Niech $U[$] bÄ™dzie otwarty, ograniczony i spÃ³jny, [/$]\partial U \in C^1[$], a [/$]u \in W^{1,p}(U)[$] dla [/$]1 \leq p \leq \infty[$].<br>Istnieje wÃ³wczas staÅ‚a [/$]C[$], niezaleÅ¼na od [/$]u$ i taka, Å¼e<br>[$$]\norm{u - \dashint_U u}_{L^p(U)} \leq C \norm{\nabla u}_{L^p(U)}.[/$$]"
"Przestrzenie Sobolewa i sÅ‚abe rozwiÄ…zania<br>PrzestrzeÅ„ funkcji H\""olderowskich","Funkcja jest $f[$] H\""olderowska z wykÅ‚adnikiem [/$]\gamma$, jeÅ¼eli<br>[$$] |f|_{C^{0, \gamma}(U)} = \sup_{x \neq y \in U} \frac{|f(x)-f(y)|}{|x-y|^\gamma} < \infty.[/$$]<br>Przestrzeni funkcji H\""olderowskich ciÄ…gÅ‚ych na [$]\overline{U}[/$], tj. [$]C^{0, \gamma}(U) \cap C(\overline{U})[/$] moÅ¼na nadaÄ‡ normÄ™<br>[$$] \norm{f}_{C^{0, \gamma}(U)} = \norm{f}_\text{sup} + |f|_{C^{0, \gamma}(U)}.[/$$]"
"Przestrzenie Sobolewa i sÅ‚abe rozwiÄ…zania<br>Twierdzenie Sobolewa o zanurzaniu w funkcje H\""olderowskie","Niech $U[$] bÄ™dzie otwarty i ograniczony, [/$]\partial U \in C^1[$], a [/$]u \in W^{1,p}(U)[$] dla [/$]p > n[$].<br>WÃ³wczas istnieje funkcja [/$]u^* \in C^{0, 1-\frac{n}{p}}(U)$ taka, Å¼e <br>[$$] u = u^* \text{ p.w. w } U[/$$]<br>oraz<br>[$$]\norm{u^*}_{C^{0, 1-\frac{n}{p}}(U)} \leq C \norm{u}_{W^{1,p}(U)}[/$$]<br>dla staÅ‚ej $C[$] niezaleÅ¼nej od [/$]u$."
Przestrzenie Sobolewa i sÅ‚abe rozwiÄ…zania<br>Twierdzenie Laxa-Milgrama,"Niech $X[$] bÄ™dzie przestrzeniÄ… Hilberta nad [/$]\R[$]. JeÅ¼eli<br>\begin{enumerate}<br>    \item [/$]B: X \times X \to \R[$] jest formÄ… dwuliniowÄ… takÄ…, Å¼e <br>    \begin{itemize}<br>        \item [/$]B[u,v] \leq C_1 \norm{u}_X \norm{v}_X[$] (ograniczonoÅ›Ä‡)<br>        \item [/$]B[u,u] \geq C_2 \norm{u}^2_X[$] (eliptycznoÅ›Ä‡)<br>    \end{itemize}<br>    \item [/$]F \in X^*[$]<br>\end{enumerate}<br>to istnieje dokÅ‚adnie jedno [/$]u \in X[$] takie, Å¼e dla kaÅ¼dego [/$]v \in X$<br>[$$] B[u,v] = F[v].[/$$]"
Przestrzenie Sobolewa i sÅ‚abe rozwiÄ…zania<br>Zwarte zanurzenie,"Niech [$]X, Y[/$] bÄ™dÄ… przestrzeniami Banacha, [$]X \subset Y[/$]. MÃ³wimy, Å¼e $X[$] zanurza siÄ™ w [/$]Y$ w sposÃ³b zwarty i piszemy<br>[$$] X \subset \subset Y, [/$$]<br>o ile<br>\begin{enumerate}<br>    \item Istnieje staÅ‚a $C[$] taka, Å¼e dla kaÅ¼dego [/$]x \in X$<br>    [$$] \norm{x}_Y \leq C \norm{x}_X. [/$$]<br>    \item KaÅ¼dy ciÄ…g ograniczony w przestrzeni $X[$] zawiera podciÄ…g zbieÅ¼ny w przestrzeni [/$]Y$.<br>\end{enumerate} "
Przestrzenie Sobolewa i sÅ‚abe rozwiÄ…zania<br>Twierdzenie Rellicha-Kondradaszowa,"Niech $U[$] bÄ™dzie otwarty i ograniczony, [/$]\partial U \in C^1[$]. JeÅ¼eli [/$]1 \leq p < n$, to<br>[$$] W^{1,p} \subset \subset L^q(U) [/$$]<br>dla kaÅ¼dego [$]1 \leq q < p^*[/$].<br><br><br>\end{document}"
